Название;Артикул
Статуя ST-016 ИИСУС DECORUS;Статуя ST-016
Статуя ST-017 БОГОМАТЕРЬ ФАТИМСКАЯ DECORUS;Статуя ST-017
Статуя ST-018 БОЖЬЯ МАТЕРЬ DECORUS;Статуя ST-018
Статуя ST-019 ДЕВА МАРИЯ DECORUS;Статуя ST-019
Статуя ST-020 РЫЦАРЬ DECORUS;Статуя ST-020
Зеркало О.011/ПСС;О.011/ПСС
Статуя LV-003 ЛЕВ НА КАМНЕ DECORUS;Статуя LV-003
Зеркало О.011/ГШЗК;О.011/ГШЗК
З.007/ПЗСЛП рама 1100*2238мм;З.007/ПЗСЛП
Орнамент G2343R;G2343R
Орнамент G2343L;G2343L
З.005/БГ (1640*1300) рама (без зерк/полотна);З.005/БГ
Воск мягкий "Stuccorapido" в блистере (20гр),цвет №50;Воск. цвет №50
Зеркало О.019/ПСС;О.019/ПСС
Плита ВО 1412 (2,44м);BO 1412 (2,44 м)
130-2-60 Вставка (5*5 см);130-2-60
Молдинг ГИБКИЙ 1.51.378   2,0 м/п;1.51.378 гибкий
Карниз CR 2435  (2м);CR 2435 (2м)
156-2-57 Вставка (10*10 см);156-2-57
Зеркало З.005/ПЗСЛ;З.005/ПЗСЛ
Плита BO 1712 (2,44м);BO 1712 (2,44 м)
Розетка потолочная B24 d 340 мм/11;B24
Карниз ГИБКИЙ 1.50.206  2,0 м/п;1.50.206 гибкий
Карниз ГИБКИЙ 1.50.283  2,0 м/п;1.50.283 гибкий
Молдинг ГИБКИЙ 1.51.378   2,0 м/п;1.51.378 гибкий
Зеркало З.005/ПСЧКЛ;З.005/ПСЧКЛ
Орнамент 1.60.501 Мавритания;1.60.501
Орнамент 1.60.503 Мавритания;1.60.503
Декоративная панель 1.59.501 Мавритания;1.59.501
Декоративная панель 1.59.503  Мавритания;1.59.503
Потолочная панель 1.57.501 Мавритания;1.57.501
Потолочная панель 1.57.502 Мавритания;1.57.502
Потолочная панель 1.57.503 Мавритания;1.57.503
Потолочная панель 1.57.504 Мавритания;1.57.504
Р.016/11-ПССП;Р.016
КСС1 Консоль олива 120 х 55 мм;КСС1 олива
КСС2 Консоль олива 165 х 75мм;КСС2 олива
КСС2 Консоль т.олива 165 х 75мм;КСС2 т.олива
КСС2 Консоль орех 165 х 75мм;КСС2 орех
Зеркало О.032 в грунте;О.032 грунт
Зеркало КС.018 в грунте;КС.018 грунт
Зеркало О.019 грунт;О.019 грунт
Зеркало Р.064 в грунте;Р.064 грунт
Зеркало Р.064/ПСС;Р.064/ПСС
Зеркало Р.064/ПСЧКЛ;Р.064/ПСЧКЛ
Зеркало З.005/ПСС;З.005/ПСС
Зеркало К.008/ПСС;К.008/ПСС
Зеркало О.010/ПСС;О.010/ПСС
Зеркало Д.014/ПСЧКЛ;Д.014/ПСЧКЛ
Зеркало Р.054 в грунте;Р.054 грунт
Зеркало Р.054/ПСС;Р.054/ПСС
Зеркало Р.054/ПСЧКЛ;Р.054/ПСЧКЛ
Зеркало З.033 в грунте;З.033 грунт
Зеркало З.033/ПСС;З.033/ПСС
Зеркало З.033/ПСЧКЛ;З.033/ПСЧКЛ
Зеркало 3.001/ПЗСЛ;З.001/ПЗСЛ
Зеркало К.017/ПЗСЛ;К.017/ПЗСЛ
Зеркало К.017/ПСЧКЛ;К.017/ПСЧКЛ
Зеркало О.055/ПЗСЛ;О.055/ПЗСЛ
Зеркало О.055/ПСЧКЛ;О.055/ПСЧКЛ
Зеркало О.047/ПЗСЛ;О.047/ПЗСЛ
Зеркало О.047/ПСЧКЛ;О.047/ПСЧКЛ
Зеркало О.032/ПСС;О.032/ПСС
Зеркало О.032/ПСЧКЛ;О.032/ПСЧКЛ
Зеркало КС.018/ПЗСЛ;КС.018/ПЗСЛ
Зеркало КС.018/ПСЧКЛ;КС.018/ПСЧКЛ
Зеркало Р.021/12 в грунте;Р.021/12 грунт
Зеркало Р.021/12 ПСС;Р.021/12 ПСС
Зеркало Р.021/12 ПСЧКЛ;Р.021/12 ПСЧКЛ
Зеркало Р.021 в грунте;Р.021 грунт
Зеркало Р.021/ПЗСЛ;Р.021/ПЗСЛ
Зеркало Р.021/ПСЧКЛ;Р.021/ПСЧКЛ
Зеркало М.012 в грунте;М.012 грунт
Зеркало М.012/ПЗСЛ;М.012/ПЗСЛ
Зеркало М.012/ПСЧКЛ;М.012/ПСЧКЛ
